hex9,value
8919694aecfffff,8683
8919694cc0bffff,1056
89196bab31bffff,2519
89196b86d77ffff,7253
89196ba9497ffff,9665
89196b84583ffff,7979
89196b8648fffff,7706
8919697849bffff,8446
89196bb846fffff,1965
89196bb0943ffff,3503
89196ba1bafffff,1082
8919697912fffff,1290
89196bb44c7ffff,7776
89196ba8d03ffff,1580
89196bb402bffff,1880
8919694d94bffff,4295
89196943253ffff,9653
89196ba236fffff,4390
89196bad11bffff,6530
89196bb584bffff,9360
89196bb9a2fffff,4628
89196978903ffff,9414
89196bb41a7ffff,5110
89196bb55b7ffff,1156
89196b33173ffff,5456
89196961453ffff,1626
89196959317ffff,8323
8919694de4fffff,9419
89196ba75d3ffff,6665
89196bb34a3ffff,4700
89196ba4027ffff,5586
89196bb9ea3ffff,877
89196bb2b6bffff,2810
89196ba26b3ffff,6206
89196b045c7ffff,2274
89196b05d13ffff,8952
8919696a05bffff,4501
89196bb54a7ffff,8044
89196b14a13ffff,8708
89196b1483bffff,9221
89196b3212bffff,4970
89196bb4d53ffff,1238
89196bb8d9bffff,7388
89196978e5bffff,3986
89196940857ffff,6043
89196ba9473ffff,4600
89196948e23ffff,8931
89196bb2a97ffff,5427
89196bad5bbffff,4734
89196949517ffff,7676
8919694a477ffff,1728
89196bb34c3ffff,4000
89196969483ffff,2203
89196bb0c37ffff,890
89196969367ffff,540
89196b86b87ffff,7516
8919694da7bffff,1352
89196942837ffff,911
89196968097ffff,2650
891969404b3ffff,3270
8919694165bffff,4794
89196ba4557ffff,6028
89196ba42b3ffff,4030
8919694894bffff,3435
89196ba3153ffff,7084
89196bad557ffff,6901
89196b86c43ffff,1353
89196948613ffff,3233
89196baa337ffff,3432
89196baf583ffff,9328
89196bb152fffff,4523
8919694cabbffff,572
89196bb64abffff,6637
89196b86b73ffff,5022
89196ba1487ffff,6558
89196b0588bffff,7515
89196bb456fffff,3874
8919696b527ffff,7155
89196bb6873ffff,7253
89196b84e93ffff,2429
891969592cfffff,8506
89196948dd3ffff,4623
89196bb9cd7ffff,230
89196ba5583ffff,3149
89196bb7127ffff,3486
89196979117ffff,8945
89196979c13ffff,4583
89196ba1d0fffff,7399
89196bade53ffff,6962
89196969e07ffff,6464
8919694d87bffff,598
891969792b3ffff,3442
89196b869d7ffff,1440
89196bbb2bbffff,4945
89196ba2487ffff,9865
89196b85ed7ffff,3028
89196ba5d67ffff,9148
8919694e203ffff,6567
89196bb3323ffff,5033
89196945107ffff,6614
89196968387ffff,4418
89196979473ffff,1497
89196ba90d3ffff,7509
891969482cbffff,8189
89196bb4e23ffff,8297
89196ba8c0fffff,4767
8919694e9d3ffff,6888
8919696b367ffff,965
89196b16897ffff,2673
891969684a7ffff,9810
89196ba8bcbffff,8682
89196ba6123ffff,1747
89196b06b83ffff,2576
8919696b697ffff,544
89196bb15b3ffff,4105
89196baae37ffff,1961
89196b05c43ffff,2111
89196942a43ffff,8987
891fa49228fffff,8705
89196bbae73ffff,9720
89196b16d77ffff,3473
89196958b03ffff,2527
89196b366cfffff,7924
89196b324afffff,3553
89196bbb56fffff,8798
89196bb9577ffff,365
89196b1486fffff,1507
89196949023ffff,2710
891fa49660fffff,8349
89196bb5aa3ffff,2044
89196bb9607ffff,3694
89196b94007ffff,3580
8919694a0c3ffff,7372
89196ba0dd3ffff,1709
8919695b237ffff,7896
8919697800bffff,2113
89196ba5c27ffff,6418
89196bb029bffff,6093
89196ba25cfffff,1622
89196bb76afffff,4251
89196bb5c2fffff,569
89196941347ffff,1142
8919694126fffff,7798
89196baab37ffff,2824
89196bb512fffff,5856
89196bb61a3ffff,53
89196bbac77ffff,6030
89196bb7457ffff,9647
89196baad1bffff,4193
89196b374d3ffff,8532
89196941637ffff,6776
89196ba63b7ffff,5435
89196ba9d53ffff,1660
89196ba326bffff,9481
8919694ca47ffff,3522
89196948b8bffff,8389
89196b964b3ffff,9333
89196bb04cfffff,6513
89196ba0523ffff,5843
8919682ca6fffff,8531
89196bb2a8fffff,5428
89196ba58dbffff,9618
89196bb44d3ffff,7659
89196b16267ffff,2957
89196baee37ffff,2054
89196bb1dabffff,3511
89196b0698bffff,5759
89196ba663bffff,2389
89196b962b7ffff,3349
89196b045cfffff,1581
89196b96853ffff,3070
89196b14333ffff,6630
89196bb23bbffff,8706
89196ba8a57ffff,1198
8919694919bffff,5340
8919696a4c3ffff,917
89196ba9937ffff,2448
89196ba9b17ffff,4858
89196bb4273ffff,9641
89196bb547bffff,5203
89196bae873ffff,3042
89196bb81dbffff,9891
89196ba1183ffff,4117
8919694e14fffff,2682
89196bab533ffff,2062
89196b94827ffff,3326
89196962acfffff,287
89196979353ffff,9847
89196ba4307ffff,3995
89196bbad6fffff,2201
89196969517ffff,4739
89196ba5e33ffff,1676
89196bb134bffff,9019
89196ba3647ffff,3396
89196b334dbffff,3212
89196bb5e0bffff,8869
891969680cbffff,218
8919694ac4fffff,3740
89196ba3087ffff,2796
8919694b64fffff,6120
89196ba7053ffff,628
89196bad077ffff,1708
89196bb3157ffff,5774
89196b32677ffff,1746
891fa493583ffff,5443
8919694d34bffff,8305
89196ba1b13ffff,3968
89196bbae6bffff,1290
89196ba4e37ffff,4156
89196b96553ffff,8657
89196b330bbffff,8672
89196ba9b0fffff,5228
89196ba3683ffff,8796
89196949a67ffff,5766
89196bae6abffff,785
891969405cbffff,7128
89196b06aabffff,5245
89196bac683ffff,4003
8919694d523ffff,1547
891fa493587ffff,8337
8919694284fffff,405
8919696825bffff,1119
8919694c8afffff,9294
89196b86e67ffff,2408
89196ba166fffff,6821
89196bab5bbffff,9672
89196961407ffff,9031
89196b8461bffff,6506
89196b32c23ffff,6082
89196b05d33ffff,2296
89196b14253ffff,6336
89196979b2bffff,5765
89196ba03cfffff,5394
8919694a207ffff,1160
8919694919bffff,9032
8919696adcfffff,556
89196b848a3ffff,2235
89196bb5ba3ffff,8578
89196bba6cfffff,8412
89196b04d13ffff,298
89196baf6d7ffff,1368
89196979127ffff,7378
89196bb4d3bffff,8021
89196978a73ffff,6837
89196b05b8bffff,7946
89196ba640fffff,4784
89196b16e4bffff,1630
89196b84e63ffff,4408
8919694ec07ffff,4978
89196b04367ffff,2345
89196978ddbffff,7880
89196ba5d93ffff,8527
8919694c143ffff,2733
89196bb5da7ffff,2401
89196bab18bffff,5371
89196bac30bffff,275
89196979e03ffff,2448
891fa4960b3ffff,1380
891fa4960bbffff,1822
89196ba95c7ffff,3380
89196979a6fffff,5772
8919697b44fffff,214
89196ba1677ffff,4318
89196b16e1bffff,5710
89196b94543ffff,4146
89196bb5eb7ffff,6571
89196962063ffff,6668
89196b14bb7ffff,4524
89196b16133ffff,8315
89196979937ffff,7127
89196baf41bffff,6301
89196b865b3ffff,9741
8919694f437ffff,4825
89196960427ffff,1554
89196b8622bffff,3954
89196948ecfffff,1895
891969698afffff,4484
8919694f1cbffff,9885
891fa49204bffff,281
8919696ae63ffff,8814
89196bbb643ffff,9607
89196ba24cfffff,7855
89196948d7bffff,1797
8919694c117ffff,6996
8919694898bffff,1203
89196b16e9bffff,5630
89196ba62b7ffff,8399
89196bb2a8fffff,7722
89196bb6a1bffff,1754
89196ba9d23ffff,3653
89196ba2957ffff,689
89196b0458fffff,8671
89196bb3357ffff,8400
89196b1483bffff,7173
89196b32457ffff,8726
89196bba26bffff,7397
89196ba4617ffff,8919
89196bb9837ffff,2177
89196bb0857ffff,8788
8919694a3a7ffff,276
89196bb7103ffff,6145
89196bb05c7ffff,4625
89196ba2cd7ffff,6212
89196bacb27ffff,7067
89196959047ffff,4698
89196bb5c43ffff,2265
89196bb8cd7ffff,6122
8919694dcdbffff,4432
89196bb964bffff,8284
89196ba9d37ffff,233
89196baca7bffff,5917
89196b14383ffff,3877
89196ba29bbffff,451
89196bb7633ffff,1269
89196b96eafffff,6398
89196ba8bafffff,7870
89196bb55b7ffff,2371
8919695951bffff,4502
89196b3319bffff,5615
89196bb8657ffff,8535
89196b16e6fffff,7228
89196ba8833ffff,8498
89196941c63ffff,3612
89196bb4513ffff,8985
8919696a1b7ffff,9650
89196b173bbffff,2584
8919682c953ffff,4050
8919694c19bffff,3634
89196ba5e03ffff,9375
89196b84a83ffff,690
89196ba849bffff,2041
8919694560bffff,264
89196bb7567ffff,4053
8919694c02bffff,2173
89196b86b93ffff,1400
89196ba7097ffff,7722
89196b3040fffff,2112
8919694e917ffff,2181
89196baa40bffff,6372
89196ba6c53ffff,4299
8919694e853ffff,5959
89196ba9cd3ffff,282
89196b06183ffff,4784
891969405c3ffff,7652
89196ba9a8fffff,5968
89196ba406fffff,8652
89196940c43ffff,4280
8919694e007ffff,606
89196ba152bffff,1211
8919696a09bffff,8418
89196bbaea7ffff,598
89196961053ffff,7927
89196945607ffff,775
89196b8411bffff,674
89196949a37ffff,552
89196941487ffff,2313
89196bb741bffff,3654
89196949453ffff,7831
8919694f563ffff,5658
89196bab3afffff,4113
89196ba612fffff,2053
89196978eafffff,1056
8919694a623ffff,9643
8919696164bffff,349
89196ba0a73ffff,2403
89196bba647ffff,6092
89196b95d83ffff,1391
89196baab0fffff,1019
89196978c13ffff,7459
8919694ed83ffff,6511
89196b8628fffff,2015
89196bb88d7ffff,4336
89196948283ffff,5124
89196b04ad7ffff,3600
89196bb84a3ffff,3331
89196bac35bffff,5096
89196941507ffff,378
89196bb483bffff,4691
89196ba76c3ffff,3754
8919697896bffff,8400
89196bb8253ffff,5324
8919696868bffff,8778
89196b155bbffff,5104
89196ba12dbffff,9013
8919694b5b7ffff,8609
89196bb9177ffff,943
89196bb71a7ffff,7366
8919694c52bffff,9744
89196948957ffff,6633
89196961247ffff,6159
89196bb4a33ffff,8514
89196b32a87ffff,6231
89196b0485bffff,1652
891969683a3ffff,748
89196bb016fffff,8158
8919696a6c7ffff,1405
89196b058cbffff,4167
89196bb489bffff,4650
89196978c87ffff,5455
89196978163ffff,9489
89196b30587ffff,6270
89196948ca3ffff,4616
89196baaa67ffff,3368
89196b86947ffff,2188
89196ba329bffff,335
891fa496583ffff,8439
89196bb9ac3ffff,8704
89196bb24b7ffff,6777
89196b85dcbffff,6581
89196ba503bffff,1351
89196bb492fffff,2327
89196ba723bffff,6463
89196ba691bffff,7976
89196b3224fffff,3003
8919694d157ffff,7219
89196ba1893ffff,7712
89196bae4cfffff,5823
89196bb124bffff,6690
8919694f40bffff,8434
8919694b073ffff,932
8919696a0b7ffff,6134
89196b04acbffff,1588
89196b04d03ffff,8747
89196baeb47ffff,6323
89196ba4393ffff,6013
89196948447ffff,1752
89196978aafffff,6693
89196ba73a3ffff,6118
89196ba6883ffff,3863
89196941b03ffff,275
89196bb5e0fffff,7649
89196b169bbffff,3193
891969495dbffff,3508
89196940c87ffff,413
89196bb16cfffff,2647
8919696a243ffff,7426
89196baf123ffff,3994
89196bb617bffff,9342
89196baee87ffff,2117
89196b3664fffff,5277
89196bad40fffff,1585
89196b86cabffff,7480
8919694f673ffff,4082
89196b06093ffff,9387
89196b8426bffff,8709
89196ba058bffff,3471
89196b9442bffff,2144
89196ba5e4bffff,4632
89196ba2b8fffff,8501
89196968467ffff,6215
89196bb0623ffff,620
891fa493597ffff,5638
89196b84d0bffff,5427
89196ba50cfffff,7009
89196baf5c3ffff,7837
8919694ea77ffff,3566
89196ba064fffff,5348
89196bb51a7ffff,57
89196ba95a3ffff,338
8919694566fffff,6488
89196b86e9bffff,925
8919696905bffff,8582
89196942b0fffff,5576
89196b3204bffff,579
89196bac327ffff,334
89196979913ffff,4064
89196bb539bffff,5301
89196baab6bffff,6284
89196bb8bd3ffff,2864
89196962253ffff,3212
89196948a5bffff,2298
8919694de1bffff,6503
89196ba9b93ffff,5955
89196bb9617ffff,1697
89196968177ffff,1873
8919694de4bffff,5694
89196bb1263ffff,663
8919694dc1bffff,1349
89196969e77ffff,183
89196ba0d63ffff,8322
89196ba58b3ffff,6596
8919696818fffff,3259
89196b84187ffff,9519
89196bae613ffff,7246
89196bb850fffff,1318
89196bba303ffff,7136
89196b32673ffff,6322
8919694f103ffff,927
89196bac2b3ffff,8363
8919694c40fffff,7918
89196b04543ffff,9050
89196bad22bffff,4
89196bb34b7ffff,4456
89196ba18a3ffff,5579
89196b14647ffff,6004
89196bae6c7ffff,5650
891969682c3ffff,5683
891fa492dcbffff,6758
89196bb6a03ffff,8234
89196b360b3ffff,4645
89196b06eafffff,7716
891969490a7ffff,9090
89196969d83ffff,8939
89196badcb7ffff,7629
89196b9485bffff,9081
8919696ad8bffff,133
89196979a53ffff,2782
89196bad257ffff,1150
8919696b527ffff,1193
89196bade27ffff,6450
89196bac12fffff,2608
891fa49346fffff,1424
89196bb4117ffff,6878
89196b14487ffff,9317
89196bb4143ffff,5663
89196bba687ffff,9384
89196baa07bffff,4624
89196ba4bc7ffff,8298
891969691d3ffff,7864
8919694868bffff,5042
8919696867bffff,7956
89196ba60cbffff,5623
891969492dbffff,7636
89196b326c3ffff,7076
89196bae17bffff,8054
89196b3002bffff,2293
891fa4922cbffff,2070
8919694516bffff,6413
89196bac6bbffff,6494
891969683c3ffff,7119
89196bbb097ffff,869
89196bb91abffff,26
89196961053ffff,6337
89196bba6dbffff,4473
89196bae173ffff,5916
8919696b373ffff,3071
89196bb6dd7ffff,5092
8919696a137ffff,6295
89196bb56cbffff,3877
89196ba6a6fffff,4682
89196961353ffff,6053
89196ba7487ffff,2119
8919696b32bffff,3927
8919694ce37ffff,9615
89196ba9ec7ffff,2861
89196ba2da7ffff,6239
89196bb722fffff,5656
89196b94033ffff,7585
89196baaad3ffff,6404
8919694d867ffff,4826
89196bb9c4fffff,4004
8919697ab5bffff,5637
8919694cadbffff,5130
89196b148d3ffff,9470
89196bb6edbffff,1739
89196ba4db7ffff,1658
8919696aebbffff,8530
89196bb7413ffff,3417
89196bbb28fffff,2863
89196940b0bffff,4779
89196bb4a73ffff,5090
891969691cfffff,788
89196ba414bffff,8765
891969794cfffff,3028
89196978693ffff,8560
89196b94edbffff,8990
89196b85b93ffff,4026
89196baed37ffff,8675
89196ba6493ffff,6195
89196bb4d77ffff,6735
89196ba4297ffff,3070
89196bb81c3ffff,6828
89196b06e03ffff,6357
89196b14dcbffff,2774
89196bae097ffff,8798
89196ba995bffff,2019
89196bb915bffff,1613
891969611d3ffff,9200
89196b96c6bffff,3406
89196b96ebbffff,6394
89196bbad33ffff,5921
8919694db27ffff,4059
89196bb99d7ffff,4735
89196bac97bffff,7828
89196b05883ffff,5505
89196b8cb23ffff,8799
8919697ab07ffff,5766
89196b14b17ffff,1615
89196bb5e6bffff,6946
89196bb188bffff,3578
8919694e02bffff,2470
891fa496597ffff,8430
891969690b3ffff,1990
89196b05d7bffff,5138
89196badc8bffff,9944
89196ba5097ffff,4506
89196948473ffff,6366
89196945277ffff,7913
89196badbdbffff,2425
89196b366d3ffff,6266
89196ba99cfffff,8693
89196b94ab3ffff,9842
89196ba1a33ffff,4408
89196b95dc7ffff,2514
89196bac857ffff,8413
89196bb044fffff,9734
8919694b103ffff,6268
8919696a687ffff,2168
89196bb8dafffff,2703
89196b160d3ffff,8711
891fa4960bbffff,4757
89196bb182bffff,219
89196b86623ffff,8811
89196bb8d83ffff,5848
89196bb8d17ffff,1418
89196962233ffff,6042
89196ba6a83ffff,6589
89196b334afffff,6353
89196b14e4fffff,6762
89196958983ffff,440
8919697806bffff,9512
89196ba2847ffff,2232
89196ba9e17ffff,8058
89196979983ffff,8405
89196b8429bffff,4838
89196bb0673ffff,6607
89196b8659bffff,6439
89196ba0c57ffff,4296
89196bb7053ffff,9415
8919696b483ffff,9246
8919697922bffff,6646
89196978a13ffff,8514
89196badd5bffff,9086
891969699bbffff,7437
8919694e4cfffff,1351
891969480afffff,3563
89196bbb2c3ffff,7506
89196ba73afffff,6735
8919694cb3bffff,3907
89196bacab3ffff,193
89196bb441bffff,2552
89196b840cbffff,8198
89196ba515bffff,933
89196baa9d3ffff,9974
891969791c7ffff,4653
8919697b037ffff,694
891969476c7ffff,481
89196978407ffff,7041
89196bb590fffff,9575
89196bb6b27ffff,855
89196b8422fffff,769
8919694a027ffff,642
8919682ca33ffff,5603
89196bacc17ffff,8104
8919694c4a7ffff,2060
8919694f46bffff,6452
8919694d843ffff,9234
89196ba832fffff,5924
89196b9496fffff,6322
89196bb1cafffff,5750
89196b945afffff,1892
8919694de87ffff,9996
89196b841dbffff,7276
8919694ec43ffff,7663
89196bb761bffff,5742
89196bb34abffff,263
89196940167ffff,4727
89196ba6317ffff,5610
89196ba196bffff,1975
89196bace6bffff,5192
89196bac263ffff,4680
89196ba0493ffff,1911
891969491c7ffff,4961
89196bb5acbffff,5754
89196940537ffff,5896
89196bbb34fffff,8103
89196b33677ffff,1265
89196bb0407ffff,1478
89196bb6183ffff,8669
8919697807bffff,6521
89196bb30cfffff,3883
89196bb2b73ffff,9149
89196ba764fffff,2098
89196ba2093ffff,7625
89196baf3d3ffff,7517
89196bba98bffff,8722
89196bbaba7ffff,75
89196979427ffff,2328
8919696a3cbffff,3649
89196ba438fffff,8416
89196bb5d1bffff,1156
89196ba02c3ffff,4580
89196b30407ffff,3216
89196b858afffff,4429
89196ba0997ffff,3411
89196ba56d7ffff,4630
89196bb061bffff,8403
8919694148bffff,9215
8919694a523ffff,7846
89196bbad9bffff,9175
89196ba9a17ffff,8538
8919694031bffff,2972
89196b365bbffff,9156
89196bb342fffff,6240
891fa492d2fffff,5819
89196baa367ffff,341
8919694cdabffff,3440
891969686cbffff,1652
89196b86987ffff,4013
89196969b8bffff,6117
89196b3228fffff,8374
89196ba5a4bffff,1326
89196b962abffff,7488
89196ba6eb3ffff,8574
89196bb9ab7ffff,2970
89196940373ffff,4942
8919697a91bffff,5213
89196959377ffff,6182
89196bb4857ffff,5107
89196bb6ca7ffff,7512
89196ba2523ffff,1347
89196b05d13ffff,6727
8919694f0afffff,7005
89196bac6a7ffff,3051
89196b33083ffff,2833
89196bba943ffff,3216
89196bb314bffff,8625
89196ba346fffff,8243
8919694d697ffff,5670
8919697986fffff,5713
89196bb1a97ffff,7984
89196b06db3ffff,4691
89196b3a40fffff,3237
891fa496037ffff,7192
89196baae8fffff,3915
89196bb1b07ffff,9185
8919694284bffff,270
8919694de4fffff,7939
89196bbb277ffff,8619
89196b84073ffff,6498
8919694a107ffff,360
89196ba908bffff,9892
89196948c2fffff,1418
89196ba1a4fffff,1849
8919694339bffff,2349
89196b159afffff,28
891969453a3ffff,5599
8919694950fffff,5531
8919694f34bffff,6026
89196ba349bffff,395
89196941bcbffff,5317
89196bb6e13ffff,9050
891969791b3ffff,6794
8919694144fffff,3904
89196ba5103ffff,3683
89196b86697ffff,3520
89196ba5e13ffff,1802
89196b94bdbffff,1720
89196b040dbffff,1428
89196bb0633ffff,2327
89196baa84fffff,2798
8919682d923ffff,6784
89196b04a8bffff,8776
89196bac923ffff,9591
89196bb4a83ffff,5852
8919694e353ffff,9510
8919694c2afffff,5600
89196bb4833ffff,4188
89196bb65d7ffff,8712
89196bb1a67ffff,2735
89196b95957ffff,698
8919696359bffff,1286
89196bb6873ffff,1035
89196b9691bffff,7223
89196b0488bffff,3872
89196bb6b1bffff,3615
89196ba740bffff,7144
89196b14b27ffff,9007
89196ba9c67ffff,9214
89196ba4c87ffff,4521
891969606c3ffff,8396
89196b058cbffff,9737
89196b064b3ffff,3122
8919694f52bffff,972
89196bae153ffff,7209
8919694ee4bffff,5702
89196bbab97ffff,8260
89196ba8b07ffff,5777
89196b06e73ffff,9543
89196969d0bffff,3049
89196978163ffff,1558
89196ba490fffff,4629
8919694983bffff,7950
891969419c7ffff,9171
89196940093ffff,4459
8919696057bffff,4839
89196ba747bffff,2883
89196b968c7ffff,3077
8919694e153ffff,2751
89196979057ffff,2211
891969595d7ffff,5883
89196ba1d0fffff,6626
89196968587ffff,5767
89196baf223ffff,7880
89196b8eb2fffff,4760
89196943533ffff,7786
89196baa447ffff,8853
8919694d95bffff,2589
8919694cdc7ffff,3711
891fa497593ffff,6513
89196bb1483ffff,6823
89196ba9157ffff,3858
89196bba9abffff,3257
89196bad597ffff,6666
89196bba8abffff,6979
89196ba02bbffff,2642
89196bb8147ffff,5631
8919694d5bbffff,735
8919694d90bffff,4441
89196ba14cbffff,3119
89196bb32a7ffff,3286
89196ba8473ffff,9397
89196bba1dbffff,672
891969429cbffff,2107
89196bb92c3ffff,5778
89196bb2db3ffff,3203
89196979d6bffff,1620
891969611c7ffff,2395
89196b96123ffff,6767
89196bb7437ffff,7085
8919694b62bffff,5392
89196978637ffff,7447
8919697ad4fffff,3072
89196bb2883ffff,4314
89196bbb6c7ffff,8606
89196ba114bffff,272
89196ba325bffff,8183
89196badca7ffff,5538
89196baa69bffff,3260
89196ba4bdbffff,592
89196ba5cbbffff,6373
89196ba5c6fffff,4131
89196bb34d3ffff,5599
8919694a1a3ffff,3160
89196941167ffff,2160
89196ba986bffff,6791
89196969317ffff,458
89196bb434bffff,1836
89196ba53b3ffff,1390
89196bb6893ffff,8546
8919694e3abffff,3548
89196bb13b3ffff,7714
89196bb5d03ffff,497
89196bb76c7ffff,1204
89196969683ffff,6997
89196940b13ffff,4332
89196ba2e83ffff,3988
89196bb925bffff,6989
89196b96ac7ffff,9903
89196bb802bffff,1594
89196978907ffff,6504
89196b8eb2fffff,3082
89196b06b53ffff,8249
8919694f3abffff,32
89196bb76c7ffff,4140
89196ba563bffff,1742
8919694ac47ffff,4376
89196b06c2fffff,3810
89196ba83b3ffff,3424
89196ba76c7ffff,2601
89196bba677ffff,1765
89196b3643bffff,3973
89196b16a77ffff,2758
89196baec7bffff,8977
8919694234bffff,6301
89196baed97ffff,7215
89196bae3abffff,9424
891969634a3ffff,7213
89196bb9007ffff,5321
89196bb4297ffff,1482
89196ba860bffff,6280
891969604afffff,8451
89196942acfffff,6382
8919694d2dbffff,2154
89196ba5443ffff,6267
89196ba1493ffff,2173
8919694996fffff,3069
89196969857ffff,5005
8919694d373ffff,1947
89196b0648fffff,6355
89196ba020fffff,8802
89196b86363ffff,9639
8919694e3abffff,7929
8919694120fffff,5677
89196baf593ffff,1124
89196b14567ffff,7272
89196bba57bffff,8648
89196ba4197ffff,3400
89196bb5cd3ffff,6914
89196b32d4bffff,6597
89196ba30b7ffff,6533
89196bad20bffff,3869
89196b95943ffff,2515
89196bab637ffff,1624
89196badcabffff,5844
89196ba03a3ffff,6655
89196bbb543ffff,8380
89196b15d4bffff,4532
89196b14ad7ffff,8465
89196bb6ebbffff,837
89196bade37ffff,5116
89196b96e4bffff,9730
89196ba503bffff,2293
89196949383ffff,5940
89196bb687bffff,8893
89196968437ffff,1592
89196ba9453ffff,2727
89196bb11b7ffff,8229
89196bab4c3ffff,2418
8919694c96bffff,1714
89196ba5933ffff,5438
89196bab337ffff,2071
8919696922bffff,6897
89196bba323ffff,5799
89196ba68a3ffff,193
89196ba0463ffff,2337
89196bad54fffff,8726
89196978633ffff,9473
89196bae81bffff,3992
8919697948fffff,7541
89196949a53ffff,4885
89196bad97bffff,2840
891969485bbffff,8805
89196979317ffff,3082
89196bb3597ffff,1663
89196979ccfffff,3184
89196ba8313ffff,3495
89196bb9b97ffff,5019
89196bb0ecfffff,4395
89196bb34b7ffff,9520
89196961057ffff,7568
89196baf67bffff,3478
89196bb63c3ffff,823
8919697b0a7ffff,7094
89196bb58cbffff,6378
89196bb306fffff,654
8919694128bffff,4012
89196ba04abffff,6279
89196958b4bffff,7141
89196bb3427ffff,4593
89196ba5b17ffff,8054
89196ba051bffff,3474
89196ba9627ffff,1795
89196bb331bffff,1476
89196b86b6fffff,954
8919696b107ffff,6831
891969782a3ffff,7849
89196bad80bffff,6546
89196b33017ffff,8775
89196ba630fffff,4510
89196949987ffff,2557
89196bab67bffff,7630
8919694c473ffff,2105
89196b16353ffff,2253
89196bab383ffff,6711
8919696826fffff,9765
89196badadbffff,2064
8919694105bffff,6606
89196b8516bffff,318
89196bb3043ffff,4216
89196949b03ffff,4641
89196949a23ffff,6770
8919696b437ffff,5197
89196baf6dbffff,6271
8919694d6cfffff,4984
89196bb74b3ffff,3014
89196b866dbffff,6178
89196ba4883ffff,8550
89196bb0893ffff,8793
891fa4934b7ffff,86
89196bb080bffff,4182
89196942ba7ffff,672
89196bb8d0fffff,5456
89196ba74afffff,6010
89196bae5c7ffff,5362
89196bba463ffff,7264
89196bad4d3ffff,7523
891969452abffff,6663
89196940ecfffff,2831
89196b3202fffff,7895
89196bae56bffff,8851
89196b1445bffff,3207
8919694e3a3ffff,3431
89196b8450fffff,22
8919694c5b3ffff,1852
89196b364cbffff,6905
89196baf027ffff,6947
89196bb0d73ffff,2641
89196baa993ffff,9705
8919694eb3bffff,2972
89196b065cbffff,9971
89196b16213ffff,4813
89196ba6e6fffff,4268
8919694d04bffff,8354
89196b04157ffff,7410
89196bb448bffff,3985
89196b85563ffff,165
89196ba16dbffff,3046
8919697816fffff,9468
89196baa3afffff,2719
89196949633ffff,2153
89196940167ffff,8546
89196ba13c3ffff,4444
89196949ad7ffff,4956
89196ba68d3ffff,6880
89196948577ffff,4298
89196bb8e0bffff,6074
8919694f613ffff,4002
89196ba3473ffff,9072
89196bacc53ffff,7210
8919694e2b3ffff,1342
8919696833bffff,3498
89196b14003ffff,9088
8919696066bffff,6684
89196b32dc3ffff,5819
89196b8e937ffff,6989
89196b94c8bffff,6775
89196bbadd3ffff,1333
89196b85987ffff,2344
89196b94d97ffff,5540
89196b9410fffff,9119
89196963317ffff,9148
8919694e63bffff,2811
89196bb038bffff,8632
89196ba89b3ffff,9006
89196978cabffff,7519
89196bb8233ffff,3421
89196ba2c67ffff,7516
89196bacc37ffff,8146
89196ba1b8bffff,4718
89196bb801bffff,3862
89196b36097ffff,5628
89196bb450bffff,7096
89196ba6087ffff,4883
8919696850bffff,317
89196bb5e0bffff,9227
89196ba8dcfffff,3955
89196940e63ffff,1544
89196b3a647ffff,3326
89196baf13bffff,2982
89196bab117ffff,6756
89196b8e933ffff,6284
89196ba844fffff,4493
89196ba61abffff,2417
89196b85e4fffff,2894
8919694de13ffff,735
89196978c03ffff,3782
89196969d93ffff,658
89196ba5537ffff,1770
89196bab36fffff,6927
8919694a143ffff,654
89196bb1b37ffff,185
89196bb8287ffff,6146
89196badc3bffff,1139
89196b85a5bffff,4250
89196bb637bffff,6954
89196ba738fffff,4305
89196b85153ffff,8282
89196bb0b5bffff,5134
89196961097ffff,7830
8919694cd4bffff,2228
89196ba26bbffff,6183
89196b3245bffff,2606
8919694db6bffff,2562
89196b0443bffff,3312
89196bbb347ffff,1170
89196941d33ffff,1845
89196b32e9bffff,9043
8919694e063ffff,857
8919694020fffff,1406
89196b301d7ffff,6685
89196b16e67ffff,1816
89196bb1853ffff,1646
89196b8461bffff,605
89196b840afffff,6670
89196bab473ffff,2372
89196bba2abffff,243
8919694a98fffff,6938
89196bac213ffff,829
8919696ad57ffff,2924
89196968e0bffff,8035
89196ba1b03ffff,1855
891969699bbffff,4327
89196945e5bffff,5925
89196bb62d3ffff,4311
89196b323d7ffff,5608
89196bb2083ffff,1856
89196bb21b7ffff,5859
89196b04157ffff,2876
89196b32c83ffff,5276
89196ba2cd7ffff,9267
89196ba5b57ffff,4573
89196ba1267ffff,2714
8919697b4afffff,586
89196b065dbffff,5904
89196ba582bffff,5492
89196bb9b97ffff,4946
89196bac243ffff,5500
89196b3281bffff,1156
89196ba98d3ffff,750
89196949163ffff,5668
8919694c653ffff,3802
89196bb3023ffff,2323
89196958bcbffff,3507
89196961087ffff,7677
8919696a4b3ffff,4619
891969419a3ffff,3004
89196959ba3ffff,8481
891fa4975c3ffff,4166
89196bb4a03ffff,4443
89196bb2c4bffff,992
89196badd4fffff,2201
89196ba7007ffff,858
89196b32a53ffff,7739
89196ba6a8fffff,7195
89196ba0ba7ffff,3887
